epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,32718.3,0.5885,1.33328,1.99423,0.90329,0.08938,0.68074,0.10538,0.09613,0.08864,0.66011,0.1029,0.08189,0.44778,1.09645,1.90346,0.85214,0.007063,0.007063,0.007063
91,33080.2,0.58773,1.3285,1.99428,0.90292,0.08994,0.67001,0.10533,0.09609,0.08868,0.66026,0.10284,0.08193,0.44759,1.09578,1.90321,0.85201,0.00703,0.00703,0.00703
92,33442.2,0.58498,1.32351,1.99293,0.90174,0.08939,0.68067,0.10545,0.09622,0.08872,0.66025,0.10296,0.08206,0.44731,1.09521,1.90301,0.85181,0.006997,0.006997,0.006997
93,33805,0.58616,1.32467,1.99274,0.90183,0.08946,0.67995,0.10551,0.09629,0.08876,0.65926,0.10301,0.0821,0.44694,1.09455,1.90274,0.85163,0.006964,0.006964,0.006964
94,34167.4,0.58559,1.32392,1.9922,0.90174,0.0901,0.66983,0.10561,0.09639,0.08884,0.66012,0.10311,0.08219,0.44661,1.09367,1.90249,0.85143,0.006931,0.006931,0.006931
95,34528.9,0.58478,1.32305,1.99169,0.90159,0.09023,0.66811,0.10574,0.09654,0.08897,0.65845,0.10325,0.08233,0.4464,1.09312,1.90227,0.85127,0.006898,0.006898,0.006898
96,34891.5,0.58519,1.32457,1.99148,0.90107,0.09025,0.66864,0.10601,0.09681,0.08899,0.65901,0.10353,0.08256,0.44606,1.09238,1.902,0.85108,0.006865,0.006865,0.006865
97,35253.8,0.58472,1.31665,1.9917,0.90126,0.09029,0.66888,0.10599,0.09679,0.08904,0.65928,0.10352,0.08259,0.44569,1.09172,1.90174,0.85093,0.006832,0.006832,0.006832
98,35615.8,0.58452,1.32015,1.99139,0.90209,0.09028,0.66921,0.10609,0.0969,0.08904,0.65966,0.10361,0.08267,0.44543,1.09093,1.90157,0.85078,0.006799,0.006799,0.006799
99,35978.3,0.58391,1.322,1.99098,0.90111,0.09034,0.66919,0.10628,0.0971,0.08977,0.64546,0.10379,0.08279,0.44521,1.09023,1.90141,0.85062,0.006766,0.006766,0.006766
100,36341.2,0.58428,1.32252,1.9909,0.90131,0.0904,0.66846,0.10622,0.09701,0.0898,0.64437,0.10374,0.08278,0.44506,1.08962,1.90122,0.85049,0.006733,0.006733,0.006733
101,36703.3,0.58517,1.3219,1.99118,0.90154,0.09045,0.66691,0.10639,0.09718,0.08921,0.65746,0.10392,0.08287,0.4449,1.08896,1.90099,0.8504,0.0067,0.0067,0.0067
102,37065.9,0.58331,1.31842,1.99041,0.90048,0.09053,0.66679,0.10649,0.09728,0.08996,0.6428,0.10402,0.08298,0.44477,1.08843,1.90083,0.85027,0.006667,0.006667,0.006667
103,37428.2,0.58388,1.31938,1.99042,0.90068,0.09059,0.666,0.10649,0.09729,0.09002,0.64199,0.10403,0.08298,0.44444,1.08814,1.90068,0.85014,0.006634,0.006634,0.006634
104,37790.1,0.5827,1.31808,1.99022,0.90088,0.09059,0.66603,0.10666,0.09743,0.09004,0.6421,0.10419,0.08309,0.44433,1.08767,1.90046,0.85003,0.006601,0.006601,0.006601
105,38152.7,0.58073,1.31169,1.98857,0.90011,0.09058,0.66646,0.10662,0.0974,0.09002,0.6425,0.10417,0.08308,0.44394,1.08699,1.90024,0.84986,0.006568,0.006568,0.006568
106,38514.9,0.5812,1.31343,1.98887,0.90017,0.09127,0.65222,0.10662,0.09741,0.09005,0.64314,0.10416,0.08313,0.44362,1.08634,1.90007,0.84964,0.006535,0.006535,0.006535
107,38877.2,0.58357,1.31921,1.98957,0.90091,0.09134,0.6524,0.10669,0.09748,0.09012,0.64339,0.10421,0.08317,0.44324,1.08562,1.89985,0.8495,0.006502,0.006502,0.006502
108,39240,0.5827,1.31697,1.9888,0.90037,0.09138,0.65255,0.10674,0.09753,0.09017,0.64354,0.10428,0.08323,0.44316,1.08496,1.89968,0.84939,0.006469,0.006469,0.006469
109,39602.2,0.58342,1.32016,1.98953,0.90128,0.09142,0.65209,0.10697,0.09777,0.09019,0.643,0.1045,0.08345,0.44294,1.08446,1.89949,0.84925,0.006436,0.006436,0.006436
110,39964.9,0.58164,1.31335,1.98855,0.90019,0.09145,0.65179,0.10699,0.09779,0.09023,0.64274,0.10452,0.08346,0.44274,1.08395,1.89922,0.84909,0.006403,0.006403,0.006403
111,40326.6,0.58047,1.31039,1.98848,0.90023,0.09146,0.65092,0.10707,0.09786,0.09023,0.64185,0.10459,0.08355,0.44262,1.08356,1.89912,0.84898,0.00637,0.00637,0.00637
112,40687.8,0.58034,1.30835,1.98813,0.89996,0.09152,0.65092,0.10722,0.09801,0.09029,0.64188,0.10475,0.08366,0.44239,1.08316,1.8989,0.84888,0.006337,0.006337,0.006337
113,41050.7,0.58112,1.31163,1.9873,0.89984,0.09154,0.65054,0.10719,0.09798,0.0903,0.64141,0.1047,0.0836,0.44204,1.08249,1.8986,0.84876,0.006304,0.006304,0.006304
114,41414.6,0.58076,1.30919,1.98663,0.89945,0.09166,0.65016,0.10724,0.09803,0.09043,0.64109,0.10476,0.08366,0.44183,1.08197,1.89848,0.84868,0.006271,0.006271,0.006271
115,41777.4,0.58241,1.31556,1.98825,0.89994,0.09162,0.65083,0.10735,0.09814,0.09038,0.64167,0.10486,0.08377,0.44155,1.08129,1.89828,0.84848,0.006238,0.006238,0.006238
116,42139.9,0.58063,1.3108,1.98754,0.8992,0.09165,0.65097,0.1075,0.09831,0.0912,0.62716,0.10502,0.08391,0.44124,1.08071,1.89804,0.8483,0.006205,0.006205,0.006205
117,42503,0.58036,1.31117,1.98676,0.89946,0.09173,0.65025,0.10779,0.09859,0.09132,0.62693,0.10531,0.0842,0.44112,1.08038,1.89785,0.84816,0.006172,0.006172,0.006172
118,42866,0.57895,1.30685,1.98588,0.89897,0.09178,0.65084,0.10792,0.09872,0.09137,0.6275,0.10543,0.08431,0.44079,1.07984,1.89766,0.84803,0.006139,0.006139,0.006139
119,43228.5,0.57908,1.3087,1.98623,0.89906,0.09182,0.64959,0.10803,0.09882,0.09146,0.62663,0.10554,0.08439,0.44051,1.07934,1.89757,0.84793,0.006106,0.006106,0.006106
120,43591.1,0.57784,1.30503,1.98528,0.89857,0.09189,0.64873,0.1081,0.09889,0.09152,0.62564,0.1056,0.08446,0.44042,1.07876,1.89735,0.84781,0.006073,0.006073,0.006073
121,43953,0.57749,1.30166,1.98591,0.89867,0.09274,0.63511,0.10816,0.09896,0.0915,0.62633,0.10568,0.08453,0.44021,1.07822,1.89717,0.84771,0.00604,0.00604,0.00604
122,44316.6,0.57771,1.30034,1.98482,0.89799,0.09277,0.63348,0.1083,0.09908,0.09153,0.62472,0.1058,0.08462,0.44016,1.07784,1.89697,0.84762,0.006007,0.006007,0.006007
123,44681.2,0.57818,1.30493,1.98511,0.8989,0.09277,0.6337,0.1084,0.09919,0.09153,0.6249,0.10592,0.08472,0.43997,1.07761,1.89677,0.84749,0.005974,0.005974,0.005974
124,45045.9,0.57614,1.3011,1.98407,0.89741,0.0928,0.63349,0.1085,0.09928,0.09156,0.6247,0.10601,0.08479,0.43983,1.07707,1.89655,0.84734,0.005941,0.005941,0.005941
125,45410.6,0.57742,1.30297,1.98456,0.89821,0.09281,0.63401,0.10842,0.0992,0.09157,0.62524,0.10593,0.08471,0.4396,1.07676,1.89637,0.84727,0.005908,0.005908,0.005908
126,45774.7,0.57818,1.306,1.98488,0.89871,0.09285,0.63373,0.10842,0.09919,0.09163,0.62504,0.10592,0.08465,0.43933,1.07626,1.89623,0.84715,0.005875,0.005875,0.005875
127,46139.7,0.57726,1.30426,1.9839,0.89754,0.09287,0.63457,0.10852,0.0993,0.09232,0.61413,0.10602,0.08474,0.43896,1.07574,1.89599,0.84696,0.005842,0.005842,0.005842
128,46504.3,0.57678,1.30069,1.98328,0.89782,0.09289,0.6346,0.10861,0.0994,0.09231,0.61389,0.10613,0.08481,0.43878,1.07545,1.89587,0.84684,0.005809,0.005809,0.005809
129,46867.2,0.57795,1.30319,1.9839,0.89774,0.09295,0.63498,0.10867,0.09944,0.09231,0.61408,0.10616,0.08485,0.43858,1.07506,1.89572,0.84671,0.005776,0.005776,0.005776
